"302531.55348079,4124021.68738915"
"302531.573042092,4124020.59990813"
"302531.581530607,4124019.52151084"
"302531.646130009,4124018.42944095"
"302531.792056398,4124017.43604243"
"302531.976633912,4124016.40644172"
"302532.268166559,4124015.36550151"
"302532.589476697,4124014.39091724"
"302532.977970626,4124013.39357667"
"302533.424442733,4124012.46192859"
"302533.905876065,4124011.57710342"
"302534.506416262,4124010.71771047"
"302535.142166657,4124009.91572246"
"302535.829134832,4124009.13194065"
"302536.540364861,4124008.41993853"
"302537.375097189,4124007.68032597"
"302538.22301855,4124007.02157685"
"302539.090183982,4124006.46119516"
"302539.951875344,4124005.90800093"
"302540.860015655,4124005.41018267"
"302541.831981716,4124004.98674269"
"302542.833932671,4124004.63847712"
"302543.887557761,4124004.32781821"
"302544.880759477,4124004.087402"
"302545.93152437,4124003.89504178"
"302546.989837971,4124003.78367774"
"302548.099618182,4124003.70110205"
"302549.125792024,4124003.66284475"
"302550.157523029,4124003.62092756"
